0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64.545,61.907,39.649,59.548,43.48,45.793,41.126,45.441,57.928,57.928,40.364,40.364,0,61.681,61.681,51.956,59.953,50.692,35.473,53.741,67.634,60.846,48.972,71.1,31.17,35.194,64.511,64.511,50.04,34.734,35.504,41.738,42.097,41.156,35.041,45.082,51.234,60.122
64.545,61.907,39.649,59.548,43.48,45.793,41.126,45.441,57.928,57.928,40.364,40.364,0,61.681,61.681,51.956,59.953,50.692,35.473,53.741,67.634,60.846,48.972,71.1,31.17,35.194,64.511,64.511,50.04,34.734,35.504,41.738,42.097,41.156,35.041,45.082,51.234,60.122
85.568,75.771,75.974,83.53,35.472,97.235,100.56,61.807,58.194,58.194,106.75,106.75,0,69.729,69.729,58.961,55.006,94.753,72.41,82.658,71.784,68.651,67.366,71.1,94.915,67.964,58.099,58.099,77.135,17.457,78.51,55.121,71.684,70.112,56.739,49.043,47.709,96.602
28.939,20.484,47.643,29.177,8.4376,58.246,70.106,18.883,0.58961,0.58961,73.71,73.71,0,10.793,10.793,7.9613,4.949,48.979,47.551,35.704,10.914,12.934,23.324,0,79.045,51.673,53.073,53.073,36.259,49.801,53.187,45.587,38.646,42.135,43.223,16.605,14.168,41.26
26.543,0,0,20.939,40.298,0,0,38.978,57.145,57.145,70.219,70.219,0,48.543,48.543,44.743,21.162,0,47.551,0,0,65.305,39.146,11.318,50.01,76.437,59.654,59.654,0,68.779,73.996,87.71,57.964,97.959,62.11,53.278,70.104,96.61
28.939,20.484,47.643,29.177,8.4376,58.246,70.106,18.883,0.58961,0.58961,73.71,73.71,0,10.793,10.793,7.9613,4.949,48.979,47.551,35.704,10.914,12.934,23.324,0,79.045,51.673,53.073,53.073,36.259,49.801,53.187,45.587,38.646,42.135,43.223,16.605,14.168,41.26
28.939,20.484,47.643,29.177,8.4376,58.246,70.106,18.883,0.58961,0.58961,73.71,73.71,0,10.793,10.793,7.9613,4.949,48.979,47.551,35.704,10.914,12.934,23.324,0,79.045,51.673,53.073,53.073,36.259,49.801,53.187,45.587,38.646,42.135,43.223,16.605,14.168,41.26
